yearID,name,R,innings,BA,OBP,SLG,ISO,TA,LinWeights
1955,Boston Red Sox,755,1386,0.264,0.351003344,0.4024,0.1384,0.59184197,138.64
1955,Brooklyn Dodgers,857,1386,0.2707,0.354525311,0.4481,0.1774,0.577673692,204.31
1955,Chicago White Sox,725,1395,0.2684,0.340072576,0.3879,0.1195,0.556935818,69.08
1955,Chicago Cubs,626,1386,0.2468,0.303970223,0.3982,0.1513,0.466935891,-9.85
1955,Cincinnati Redlegs,761,1386,0.2702,0.339855819,0.4249,0.1546,0.53735188,129.98
1955,Cleveland Indians,698,1386,0.2575,0.348952121,0.3937,0.1362,0.562028609,109.62
1955,Detroit Tigers,775,1386,0.2663,0.345712357,0.3945,0.1281,0.570548999,104.07
1955,Kansas City Athletics,638,1395,0.2615,0.320455329,0.3822,0.1207,0.504024145,-1.75
1955,Milwaukee Braves,743,1386,0.2609,0.325376232,0.4268,0.1658,0.520244461,97.48
1955,New York Giants,702,1386,0.2604,0.323941227,0.4019,0.1415,0.498855835,54.6
1955,New York Yankees,762,1386,0.26,0.33812825,0.4177,0.1577,0.545005203,121.2
1955,Philadelphia Phillies,675,1386,0.2553,0.339832869,0.3947,0.1394,0.561192469,84
1955,Pittsburgh Pirates,560,1386,0.244,0.307051736,0.3605,0.1166,0.501398424,-57.86
1955,St. Louis Cardinals,654,1386,0.2611,0.320230608,0.3995,0.1384,0.505063291,26.79
1955,Washington Senators,598,1386,0.2483,0.319542254,0.3506,0.1023,0.516807801,-47.03
1956,Baltimore Orioles,571,1386,0.244,0.319299487,0.3499,0.1059,0.508226221,-46.49
1956,Boston Red Sox,780,1395,0.2754,0.362080316,0.419,0.1436,0.62156611,190.09
1956,Brooklyn Dodgers,720,1386,0.2579,0.341743518,0.419,0.161,0.54895288,131.12
1956,Chicago White Sox,776,1386,0.2671,0.343945809,0.3973,0.1302,0.574353724,105.01
1956,Chicago Cubs,597,1413,0.2435,0.302663863,0.3819,0.1384,0.473985561,-34.45
1956,Cincinnati Redlegs,775,1395,0.2657,0.332359512,0.4411,0.1754,0.512157666,144.05
1956,Cleveland Indians,712,1395,0.244,0.332303997,0.3807,0.1368,0.51911315,46.65
1956,Detroit Tigers,789,1395,0.2785,0.355858855,0.42,0.1415,0.593942505,169.62
1956,Kansas City Athletics,619,1386,0.2521,0.314679219,0.3704,0.1183,0.502145923,-23.25
1956,Milwaukee Braves,709,1395,0.2593,0.322501317,0.4227,0.1634,0.512767604,82.53
1956,New York Giants,540,1386,0.2443,0.298640916,0.3825,0.1382,0.465116279,-38.08
1956,New York Yankees,857,1386,0.2698,0.345537371,0.4341,0.1643,0.555413687,160.5
1956,Philadelphia Phillies,668,1386,0.2523,0.327863189,0.3807,0.1284,0.537557486,35.54
1956,Pittsburgh Pirates,588,1413,0.2567,0.307458958,0.3798,0.1232,0.489780276,-37.08
1956,St. Louis Cardinals,678,1404,0.2683,0.330896106,0.3992,0.1309,0.544080605,60.88
1956,Washington Senators,652,1395,0.2503,0.33808554,0.3768,0.1265,0.560498221,49.64
1957,Baltimore Orioles,597,1386,0.2519,0.317267684,0.3526,0.1007,0.511955701,-43.56
1957,Boston Red Sox,721,1386,0.262,0.340179935,0.4052,0.1432,0.551177073,105.35
1957,Brooklyn Dodgers,690,1386,0.2528,0.323722376,0.3873,0.1345,0.51075677,32.73
1957,Chicago White Sox,707,1395,0.26,0.339437097,0.3755,0.1155,0.568533063,60.05
1957,Chicago Cubs,628,1404,0.2444,0.304116638,0.3796,0.1352,0.4688878,-33.84
1957,Cincinnati Redlegs,747,1386,0.2694,0.336647009,0.4324,0.1629,0.539390888,137.15
1957,Cleveland Indians,682,1377,0.2522,0.328878862,0.3819,0.1298,0.51073071,25.74
1957,Detroit Tigers,614,1386,0.2573,0.32125769,0.3781,0.1208,0.510325952,-5.2
1957,Kansas City Athletics,563,1386,0.2441,0.293820022,0.3936,0.1495,0.442947903,-37.32
1957,Milwaukee Braves,772,1395,0.2691,0.326068593,0.4417,0.1726,0.52309613,128.44
1957,New York Giants,643,1386,0.2523,0.310029346,0.3926,0.1403,0.481784387,1.16
1957,New York Yankees,723,1386,0.2679,0.338419338,0.4088,0.141,0.551193226,96.67
1957,Philadelphia Phillies,623,1404,0.2501,0.319480519,0.3745,0.1244,0.520728008,5.32
1957,Pittsburgh Pirates,586,1395,0.2679,0.315270083,0.3839,0.1161,0.52406015,-8.29
1957,St. Louis Cardinals,737,1386,0.2736,0.333612741,0.4046,0.131,0.545658124,76.62
1957,Washington Senators,603,1386,0.2435,0.312782216,0.3628,0.1193,0.489612015,-49.48
1958,Baltimore Orioles,521,1386,0.2412,0.30675724,0.3502,0.109,0.469971889,-75.57
1958,Boston Red Sox,697,1395,0.2558,0.336919399,0.4003,0.1445,0.541357234,89.75
1958,Chicago White Sox,634,1395,0.2568,0.323565112,0.3669,0.1101,0.535841383,9.67
1958,Chicago Cubs,709,1386,0.2651,0.327042936,0.426,0.1609,0.518670077,100.68
1958,Cincinnati Redlegs,695,1386,0.2577,0.330367836,0.3888,0.131,0.544787449,51.2
1958,Cleveland Indians,694,1377,0.2576,0.322036874,0.4028,0.1452,0.49769821,39.87
1958,Detroit Tigers,659,1386,0.2665,0.326498144,0.3893,0.1228,0.537480479,35.41
1958,Kansas City Athletics,642,1404,0.2465,0.306143882,0.3815,0.135,0.47325,-35.86
1958,Los Angeles Dodgers,668,1386,0.2507,0.316160903,0.4019,0.1512,0.487382106,30.79
1958,Milwaukee Braves,675,1386,0.2656,0.327196213,0.4119,0.1462,0.514954486,83.85
1958,New York Yankees,759,1395,0.2679,0.335276968,0.4156,0.1477,0.536591607,103.77
1958,Philadelphia Phillies,664,1386,0.2655,0.336421833,0.4001,0.1346,0.564199396,83.72
1958,Pittsburgh Pirates,662,1386,0.2642,0.315789474,0.4103,0.1462,0.523219814,44.89
1958,San Francisco Giants,727,1386,0.2631,0.329970935,0.4218,0.1587,0.539260385,109.14
1958,St. Louis Cardinals,619,1386,0.2609,0.328956462,0.3802,0.1193,0.531703591,22.57
